w1,w2,w3,w4,w5,w6,CL,CD,CM
-0.080889,-0.583079,-0.176868,0.185075,0.008990,0.474564,-0.041600,0.01248000,0.066500
-0.073237,-0.078518,-0.533177,0.427303,0.542452,0.560633,1.026400,0.02249000,-0.088800
-0.110223,-0.500171,-0.337711,0.559307,0.426241,0.468502,0.199100,0.01564000,0.091500
-0.483719,-0.122165,-0.434021,0.517060,0.228679,0.341778,0.312500,0.01604000,0.022000
-0.351746,-0.382912,-0.382476,0.066652,0.035850,0.175572,-0.291900,0.01445000,0.096700
-0.362832,-0.484050,-0.295182,0.385888,0.007434,0.042433,-0.195500,0.01292000,0.129500
-0.297652,-0.437630,-0.125753,0.341766,0.001269,0.265395,0.141800,0.01273000,0.035600
-0.491604,-0.027987,-0.421337,0.391757,0.405816,0.060314,0.332900,0.01407000,0.016000
-0.164395,-0.445337,-0.430184,0.473962,0.220307,0.027734,-0.021300,0.01282000,0.160400
-0.373050,-0.211048,-0.473369,0.556234,0.199869,0.158389,0.210500,0.01396000,0.089200
-0.011631,-0.549343,-0.219174,0.354594,0.127322,0.143555,0.129000,0.01133000,0.102700
-0.411335,-0.375503,-0.178100,0.299576,0.414016,0.342204,0.386700,0.01159000,-0.045600
-0.239177,-0.588032,-0.074969,0.426489,0.303347,0.009523,0.196200,0.01322000,0.064700
-0.045166,-0.443650,-0.042899,0.333794,0.248359,0.422837,0.524400,0.01097000,-0.024900
-0.134696,-0.174678,-0.020953,0.195998,0.060996,0.117006,0.370800,0.00898000,-0.003400
-0.102416,-0.577898,-0.386052,0.182207,0.550985,0.426105,0.201200,0.01293000,0.028800
-0.031034,-0.542821,-0.051155,0.198736,0.416293,0.193945,0.462400,0.01061000,-0.018100
-0.254289,-0.272560,-0.406136,0.284629,0.486900,0.164606,0.279200,0.01151000,0.037700
-0.559380,-0.028414,-0.243391,0.097022,0.079071,0.465954,0.027900,0.01687000,-0.035900
-0.558766,-0.488333,-0.363129,0.192209,0.394992,0.498077,0.105900,0.01362000,-0.039500
-0.363378,-0.593944,-0.298344,0.073819,0.271232,0.219030,-0.304500,0.01561000,0.080100
-0.187085,-0.579961,-0.016812,0.368367,0.230934,0.365523,0.359600,0.01269000,-0.004900
-0.466243,-0.129058,-0.374984,0.161322,0.244133,0.445753,0.280800,0.01115000,-0.050000
